# Data from the MAK final Report
# Data from Figure 45
# $1        $2      $3         $4       $5      $6        $7       $8       $9      $10
# Time    MAK d   MAK d+   MAK d-     Me d    Me d+    Me d-       ∆d      ∆d+      ∆d-
 -29.3  -2878.6  -2855.9  -2901.4  -2625.8  -2524.3  -2727.2    252.9    331.6    174.2
 -22.3  -2195.4  -2172.7  -2218.1  -2033.8  -1948.9  -2118.8    161.6    223.8     99.3
  -9.3   -913.6   -890.9   -936.3   -847.0   -807.4   -886.5     66.7     83.5     49.8
  -8.3   -808.9   -786.1   -831.6   -754.4   -718.2   -790.6     54.5     67.9     41.0
  -7.3   -705.5   -682.8   -728.2   -662.0   -629.2   -694.9     43.5     53.6     33.3
  -4.8   -465.2   -442.5   -487.9   -432.2   -407.1   -457.4     33.0     35.4     30.5
  -2.3   -223.5   -200.8   -246.3   -205.1   -186.5   -223.6     18.5     14.3     22.7
