-35.6    NaN      NaN      -1125.192
-34.6    NaN      NaN      -1124.250
-33.6    NaN      NaN      -1121.427
-32.8    NaN      -949.243 NaN     
-32.6    NaN      NaN      -1116.730
-31.8    NaN      -948.310 NaN     
-31.6    NaN      NaN      -1110.168
-30.8    NaN      -945.518 NaN     
-30.6    NaN      NaN      -1101.748
-30.1    -787.468 NaN      NaN     
-29.8    NaN      -940.874 NaN     
-29.6    NaN      NaN      -1091.479
-29.1    -786.547 NaN      NaN     
-28.8    NaN      -934.386 NaN     
-28.6    NaN      NaN      -1079.368
-28.1    -783.788 NaN      NaN     
-27.8    NaN      -926.063 NaN     
-27.6    NaN      NaN      -1065.424
-27.1    -779.202 NaN      NaN     
-26.8    NaN      -915.914 NaN     
-26.6    NaN      NaN      -1049.657
-26.1    -772.796 NaN      NaN     
-25.8    NaN      -903.948 NaN     
-25.6    NaN      NaN      -1032.074
-25.1    -764.580 NaN      NaN     
-24.8    NaN      -890.173 NaN     
-24.6    NaN      NaN      -1012.687
-24.1    -754.563 NaN      NaN     
-23.8    NaN      -874.601 NaN     
-23.6    NaN      NaN      -991.503
-23.1    -742.755 NaN      NaN     
-22.8    NaN      -857.239 NaN     
-22.6    NaN      NaN      -968.533
-22.1    -729.166 NaN      NaN     
-21.8    NaN      -838.099 NaN     
-21.6    NaN      NaN      -943.787
-21.1    -713.807 NaN      NaN     
-20.8    NaN      -817.191 NaN     
-20.6    NaN      NaN      -917.275
-20.1    -696.687 NaN      NaN     
-19.8    NaN      -794.524 NaN     
-19.6    NaN      NaN      -889.008
-19.1    -677.818 NaN      NaN     
-18.8    NaN      -770.111 NaN     
-18.6    NaN      NaN      -858.997
-18.1    -657.210 NaN      NaN     
-17.8    NaN      -743.961 NaN     
-17.6    NaN      NaN      -827.253
-17.1    -634.875 NaN      NaN     
-16.8    NaN      -716.087 NaN     
-16.6    NaN      NaN      -793.788
-16.1    -610.824 NaN      NaN     
-15.8    NaN      -686.500 NaN     
-15.6    NaN      NaN      -758.611
-15.1    -585.069 NaN      NaN     
-14.8    NaN      -655.211 NaN     
-14.6    NaN      NaN      -721.737
-14.1    -557.621 NaN      NaN     
-13.8    NaN      -622.232 NaN     
-13.6    NaN      NaN      -683.176
-13.1    -528.493 NaN      NaN     
-12.8    NaN      -587.577 NaN     
-12.6    NaN      NaN      -642.942
-12.1    -497.698 NaN      NaN     
-11.8    NaN      -551.257 NaN     
-11.6    NaN      NaN      -601.046
-11.1    -465.248 NaN      NaN     
-10.8    NaN      -513.284 NaN     
-10.6    NaN      NaN      -557.501
-10.1    -431.157 NaN      NaN     
-9.8     NaN      -473.674 NaN     
-9.6     NaN      NaN      -512.321
-9.1     -395.436 NaN      NaN     
-8.8     NaN      -432.437 NaN     
-8.6     NaN      NaN      -465.520
-8.1     -358.101 NaN      NaN     
-7.8     NaN      -389.589 NaN     
-7.6     NaN      NaN      -417.109
-7.1     -319.164 NaN      NaN     
-6.8     NaN      -345.142 NaN     
-6.6     NaN      NaN      -367.104
-6.1     -278.640 NaN      NaN     
-5.8     NaN      -299.111 NaN     
-5.6     NaN      NaN      -315.519
-5.1     -236.542 NaN      NaN     
-4.8     NaN      -251.511 NaN     
-4.6     NaN      NaN      -262.367
-4.1     -192.886 NaN      NaN     
-3.8     NaN      -202.354 NaN     
-3.6     NaN      NaN      -207.664
-3.1     -147.686 NaN      NaN     
-2.8     NaN      -151.658 NaN     
-2.6     NaN      NaN      -151.425
-2.1     -100.957 NaN      NaN     
-1.8     NaN       -99.436 NaN     
-1.6     NaN      NaN       -93.663
-1.1      -52.714 NaN      NaN     
-0.8     NaN       -45.703 NaN     
-0.6     NaN      NaN       -34.396
-0.1       -2.972 NaN      NaN     
0.0         0.000    0.000    0.000
0.2      NaN         9.524 NaN     
0.4      NaN      NaN        26.363
0.9        48.251 NaN      NaN     
1.2      NaN        66.230 NaN     
1.4      NaN      NaN        88.596
1.9       100.942 NaN      NaN     
2.2      NaN       124.399 NaN     
2.4      NaN      NaN       152.287
2.9       155.083 NaN      NaN     
3.2      NaN       184.015 NaN     
3.4      NaN      NaN       217.421
3.9       210.658 NaN      NaN     
4.2      NaN       245.061 NaN     
4.4      NaN      NaN       283.981
4.9       267.649 NaN      NaN     
5.2      NaN       307.520 NaN     
5.4      NaN      NaN       351.950
5.9       326.041 NaN      NaN     
6.2      NaN       371.375 NaN     
6.4      NaN      NaN       421.310
6.9       385.816 NaN      NaN     
7.2      NaN       436.609 NaN     
7.4      NaN      NaN       492.045
7.9       446.957 NaN      NaN     
8.2      NaN       503.205 NaN     
