# "Grounds speed, mid data and smoothed data, extrapolated."
#
# Notes:
# Columns
# 1: Time (s)
# 2: Ground speed, mid values (knots).
# 3: Time, minimum (s).
# 4: Time, maximum (s).
# 5: Ground speed, min values (knots).
# 6: Ground speed, max values (knots).
# 7: Ground speed extrapolated, mid values (knots).
# 8: Ground speed extrapolated, min values (knots).
# 9: Ground speed extrapolated, max values (knots).
11.0     NaN      NaN      NaN      NaN      NaN       138.012  128.012  148.012
11.5      137.281   11.350   11.683  124.119  147.992 NaN      NaN      NaN     
12.0     NaN      NaN      NaN      NaN      NaN       140.505  130.505  150.505
12.1      142.565   11.900   12.233  128.777  153.920 NaN      NaN      NaN     
12.4      142.567   12.267   12.600  129.016  153.768 NaN      NaN      NaN     
13.0     NaN      NaN      NaN      NaN      NaN       142.961  132.961  152.961
13.1      137.291   12.917   13.250  125.074  147.392 NaN      NaN      NaN     
13.5      142.574   13.300   13.633  129.700  153.328 NaN      NaN      NaN     
13.7      142.575   13.533   13.867  129.856  153.227 NaN      NaN      NaN     
13.8      148.279   13.617   13.950  134.633  159.792 NaN      NaN      NaN     
13.8      142.576   13.667   14.000  129.945  153.169 NaN      NaN      NaN     
14.0     NaN      NaN      NaN      NaN      NaN       145.381  135.381  155.381
14.3      142.579   14.100   14.433  130.234  152.980 NaN      NaN      NaN     
14.9      142.582   14.733   15.067  130.656  152.702 NaN      NaN      NaN     
15.0     NaN      NaN      NaN      NaN      NaN       147.762  137.762  157.762
15.6      148.290   15.417   15.750  135.919  158.933 NaN      NaN      NaN     
15.8      148.291   15.617   15.950  136.060  158.837 NaN      NaN      NaN     
16.0     NaN      NaN      NaN      NaN      NaN       150.106  140.106  160.106
16.2      151.320   16.042   16.375  138.914  162.102 NaN      NaN      NaN     
16.5      154.474   16.333   16.667  141.786  165.573 NaN      NaN      NaN     
17.0      151.324   16.792   17.125  139.451  161.732 NaN      NaN      NaN     
17.0     NaN      NaN      NaN      NaN      NaN       152.410  142.410  162.410
17.3      154.479   17.133   17.467  142.375  165.163 NaN      NaN      NaN     
17.7      154.481   17.533   17.867  142.663  164.961 NaN      NaN      NaN     
18.0     NaN      NaN      NaN      NaN      NaN       154.676  144.676  164.676
