-35.6    NaN      NaN       -86.615
-34.6    NaN      NaN       -85.672
-33.6    NaN      NaN       -82.849
-32.8    NaN       232.350 NaN     
-32.6    NaN      NaN       -78.153
-31.8    NaN       233.283 NaN     
-31.6    NaN      NaN       -71.591
-30.8    NaN       236.075 NaN     
-30.6    NaN      NaN       -63.171
-30.1     537.140 NaN      NaN     
-29.8    NaN       240.719 NaN     
-29.6    NaN      NaN       -52.902
-29.1     538.062 NaN      NaN     
-28.8    NaN       247.207 NaN     
-28.6    NaN      NaN       -40.791
-28.1     540.820 NaN      NaN     
-27.8    NaN       255.530 NaN     
-27.6    NaN      NaN       -26.847
-27.1     545.407 NaN      NaN     
-26.8    NaN       265.679 NaN     
-26.6    NaN      NaN       -11.080
-26.1     551.813 NaN      NaN     
-25.8    NaN       277.645 NaN     
-25.6    NaN      NaN         6.503
-25.1     560.029 NaN      NaN     
-24.8    NaN       291.419 NaN     
-24.6    NaN      NaN        25.891
-24.1     570.046 NaN      NaN     
-23.8    NaN       306.992 NaN     
-23.6    NaN      NaN        47.075
-23.1     581.853 NaN      NaN     
-22.8    NaN       324.354 NaN     
-22.6    NaN      NaN        70.045
-22.1     595.442 NaN      NaN     
-21.8    NaN       343.494 NaN     
-21.6    NaN      NaN        94.791
-21.1     610.801 NaN      NaN     
-20.8    NaN       364.402 NaN     
-20.6    NaN      NaN       121.302
-20.1     627.921 NaN      NaN     
-19.8    NaN       387.069 NaN     
-19.6    NaN      NaN       149.569
-19.1     646.790 NaN      NaN     
-18.8    NaN       411.482 NaN     
-18.6    NaN      NaN       179.580
-18.1     667.398 NaN      NaN     
-17.8    NaN       437.631 NaN     
-17.6    NaN      NaN       211.324
-17.1     689.733 NaN      NaN     
-16.8    NaN       465.506 NaN     
-16.6    NaN      NaN       244.790
-16.1     713.785 NaN      NaN     
-15.8    NaN       495.093 NaN     
-15.6    NaN      NaN       279.966
-15.1     739.540 NaN      NaN     
-14.8    NaN       526.382 NaN     
-14.6    NaN      NaN       316.840
-14.1     766.987 NaN      NaN     
-13.8    NaN       559.361 NaN     
-13.6    NaN      NaN       355.401
-13.1     796.115 NaN      NaN     
-12.8    NaN       594.016 NaN     
-12.6    NaN      NaN       395.636
-12.1     826.910 NaN      NaN     
-11.8    NaN       630.336 NaN     
-11.6    NaN      NaN       437.532
-11.1     859.360 NaN      NaN     
-10.8    NaN       668.308 NaN     
-10.6    NaN      NaN       481.076
-10.1     893.452 NaN      NaN     
-9.8     NaN       707.919 NaN     
-9.6     NaN      NaN       526.256
-9.1      929.172 NaN      NaN     
-8.8     NaN       749.156 NaN     
-8.6     NaN      NaN       573.058
-8.1      966.507 NaN      NaN     
-7.8     NaN       792.004 NaN     
-7.6     NaN      NaN       621.468
-7.1     1005.444 NaN      NaN     
-6.8     NaN       836.451 NaN     
-6.6     NaN      NaN       671.473
-6.1     1045.969 NaN      NaN     
-5.8     NaN       882.482 NaN     
-5.6     NaN      NaN       723.058
-5.1     1088.066 NaN      NaN     
-4.8     NaN       930.082 NaN     
-4.6     NaN      NaN       776.210
-4.1     1131.722 NaN      NaN     
-3.8     NaN       979.238 NaN     
-3.6     NaN      NaN       830.913
-3.1     1176.922 NaN      NaN     
-2.8     NaN      1029.935 NaN     
-2.6     NaN      NaN       887.153
-2.1     1223.652 NaN      NaN     
-1.8     NaN      1082.157 NaN     
-1.6     NaN      NaN       944.914
-1.1     1271.895 NaN      NaN     
-0.8     NaN      1135.890 NaN     
-0.6     NaN      NaN      1004.182
-0.1     1321.636 NaN      NaN     
0.0      1324.608 1181.593 1038.577
0.2      NaN      1191.117 NaN     
0.4      NaN      NaN      1064.940
0.9      1372.860 NaN      NaN     
1.2      NaN      1247.823 NaN     
1.4      NaN      NaN      1127.173
1.9      1425.550 NaN      NaN     
2.2      NaN      1305.992 NaN     
2.4      NaN      NaN      1190.865
2.9      1479.691 NaN      NaN     
3.2      NaN      1365.608 NaN     
3.4      NaN      NaN      1255.999
3.9      1535.266 NaN      NaN     
4.2      NaN      1426.654 NaN     
4.4      NaN      NaN      1322.558
