# Notes:
# "Estimated x/y of observer."
# Columns:
# 1: x (m)
# 2: y minumum (m)
# 3: y mid (m)
# 4: y maximum (m)
3434.2   -785.438 NaN      NaN     
3434.8   -785.343 NaN      NaN     
3435.0   -784.432 NaN      NaN     
3435.3   -782.627 NaN      NaN     
3435.5   NaN      NaN      -742.293
3435.9   -781.389 NaN      NaN     
3435.9   -781.325 NaN      NaN     
3436.0   NaN      -778.763 NaN     
3436.1   NaN      -778.617 NaN     
3436.3   -781.203 NaN      NaN     
3436.7   NaN      -778.289 NaN     
3436.9   NaN      -778.262 NaN     
3436.9   -780.980 NaN      NaN     
3437.6   -780.379 NaN      NaN     
3437.9   NaN      NaN      -742.019
3438.1   NaN      -778.229 NaN     
3438.3   NaN      -777.994 NaN     
3438.4   NaN      -777.963 NaN     
3438.4   NaN      -777.779 NaN     
3438.7   -779.967 NaN      NaN     
3438.8   NaN      -777.238 NaN     
3438.9   -774.457 NaN      NaN     
3439.0   NaN      -777.050 NaN     
3439.2   NaN      -776.602 NaN     
3439.3   NaN      -776.593 NaN     
3439.3   NaN      -776.500 NaN     
3439.4   NaN      -776.317 NaN     
3439.9   NaN      -775.701 NaN     
3439.9   NaN      -775.612 NaN     
3439.9   NaN      -775.595 NaN     
3440.0   NaN      -775.561 NaN     
3440.1   NaN      -775.484 NaN     
3440.4   NaN      -775.347 NaN     
3440.5   NaN      -775.236 NaN     
3440.5   NaN      -774.985 NaN     
3440.5   NaN      -774.616 NaN     
3440.5   NaN      -774.561 NaN     
3440.5   NaN      -774.407 NaN     
3440.5   NaN      -774.132 NaN     
3440.6   NaN      -773.754 NaN     
3440.6   NaN      -773.751 NaN     
3440.6   NaN      -773.384 NaN     
3440.6   NaN      -773.293 NaN     
3441.2   NaN      -773.101 NaN     
3441.2   NaN      -772.798 NaN     
3441.5   NaN      -772.277 NaN     
3441.6   -774.229 NaN      NaN     
3441.9   NaN      -771.718 NaN     
3441.9   NaN      -771.709 NaN     
3442.0   NaN      -771.309 NaN     
3442.1   NaN      -771.294 NaN     
3442.2   NaN      -771.230 NaN     
3442.2   NaN      -771.062 NaN     
3442.2   NaN      -770.797 NaN     
3442.5   NaN      -770.440 NaN     
3442.6   NaN      -770.261 NaN     
3442.7   NaN      -770.133 NaN     
3442.8   NaN      NaN      -740.703
3442.9   NaN      NaN      -739.656
3442.9   NaN      -769.463 NaN     
3443.1   NaN      -769.403 NaN     
3443.5   NaN      NaN      -739.634
3443.6   NaN      NaN      -739.289
3443.6   NaN      NaN      -738.735
3443.9   NaN      -768.563 NaN     
3444.0   NaN      -768.521 NaN     
3444.1   NaN      -767.931 NaN     
3444.4   NaN      -767.849 NaN     
3444.4   NaN      -767.341 NaN     
3444.5   NaN      -766.943 NaN     
3444.7   NaN      -766.444 NaN     
3444.8   NaN      -766.413 NaN     
3444.8   NaN      -766.085 NaN     
3445.0   NaN      -766.023 NaN     
3445.0   NaN      -765.953 NaN     
3445.0   NaN      -765.719 NaN     
3445.0   NaN      -765.019 NaN     
3445.3   NaN      -764.984 NaN     
3445.3   NaN      NaN      -738.706
3445.5   NaN      NaN      -738.326
3445.5   NaN      -764.119 NaN     
3445.5   NaN      -764.077 NaN     
3445.5   NaN      -764.065 NaN     
3445.8   NaN      -763.561 NaN     
3446.0   NaN      -763.236 NaN     
3446.1   NaN      -762.841 NaN     
3446.2   NaN      NaN      -736.937
3446.4   NaN      -762.385 NaN     
3446.6   NaN      -761.998 NaN     
3447.1   NaN      -761.418 NaN     
3447.1   NaN      -761.256 NaN     
3447.4   NaN      -761.146 NaN     
3447.7   NaN      -760.931 NaN     
3447.9   NaN      NaN      -736.920
3447.9   NaN      -760.622 NaN     
3448.1   NaN      NaN      -736.810
3448.3   NaN      NaN      -736.238
3448.4   NaN      -759.812 NaN     
3448.4   NaN      -759.707 NaN     
3448.4   NaN      NaN      -735.846
3448.5   NaN      -759.666 NaN     
3448.6   NaN      -759.108 NaN     
3448.9   NaN      -759.092 NaN     
3449.1   NaN      NaN      -735.626
3449.2   NaN      -758.946 NaN     
3449.2   NaN      -758.841 NaN     
3449.7   NaN      NaN      -734.881
3449.8   NaN      NaN      -734.774
3449.9   NaN      NaN      -733.925
3449.9   NaN      NaN      -733.598
3450.0   NaN      -758.777 NaN     
3450.0   NaN      NaN      -733.510
3450.1   NaN      -758.561 NaN     
3450.2   NaN      -758.552 NaN     
3451.0   NaN      NaN      -732.347
3451.1   NaN      NaN      -732.299
3451.2   NaN      -758.535 NaN     
3451.8   NaN      NaN      -732.048
3451.9   NaN      -758.272 NaN     
3452.3   NaN      -757.970 NaN     
3452.7   NaN      NaN      -732.042
3452.8   NaN      -757.950 NaN     
3452.8   NaN      NaN      -731.842
3453.0   NaN      -757.853 NaN     
3453.2   NaN      -757.841 NaN     
3453.5   NaN      NaN      -731.740
3453.5   NaN      NaN      -730.722
3453.7   NaN      -757.617 NaN     
3454.0   NaN      NaN      -730.527
3454.8   NaN      -757.192 NaN     
3454.9   NaN      -757.141 NaN     
3455.5   NaN      -756.737 NaN     
3455.9   NaN      -756.214 NaN     
3456.3   NaN      -756.204 NaN     
3456.3   NaN      -756.046 NaN     
3456.6   NaN      -755.532 NaN     
3457.0   NaN      -755.276 NaN     
3457.7   NaN      -754.934 NaN     
3458.1   NaN      NaN      -730.475
3458.3   NaN      -754.872 NaN     
3458.4   NaN      -754.715 NaN     
3458.5   NaN      -754.256 NaN     
3458.5   NaN      NaN      -730.373
3458.7   NaN      NaN      -729.501
3458.7   NaN      NaN      -728.936
3458.9   NaN      NaN      -728.322
3459.0   NaN      NaN      -728.187
3459.1   NaN      NaN      -728.169
3459.1   NaN      -754.251 NaN     
3459.1   NaN      NaN      -728.116
3459.2   NaN      NaN      -728.043
3459.2   NaN      NaN      -727.920
3459.3   NaN      NaN      -727.543
3459.3   NaN      NaN      -727.432
3459.3   NaN      NaN      -727.339
3459.3   NaN      -753.992 NaN     
3459.4   NaN      NaN      -727.152
3459.4   NaN      NaN      -727.091
3459.5   NaN      -753.636 NaN     
3459.5   NaN      NaN      -726.625
3460.3   NaN      -753.580 NaN     
3460.5   NaN      -753.544 NaN     
3460.5   NaN      -753.374 NaN     
3460.7   NaN      -753.335 NaN     
3461.3   NaN      -753.095 NaN     
3461.4   NaN      -751.874 NaN     
3461.5   NaN      -751.810 NaN     
3461.7   NaN      -751.506 NaN     
3461.9   NaN      -750.131 NaN     
3462.1   NaN      -750.114 NaN     
3462.7   NaN      -749.973 NaN     
3462.9   NaN      -749.482 NaN     
3463.0   NaN      -749.382 NaN     
3463.1   NaN      NaN      -726.481
3463.3   NaN      NaN      -726.455
3463.5   NaN      NaN      -725.684
3463.6   NaN      -749.347 NaN     
3463.7   NaN      -748.615 NaN     
3463.8   NaN      -748.604 NaN     
3463.8   NaN      -748.582 NaN     
3463.9   NaN      NaN      -725.357
3464.0   NaN      -747.279 NaN     
3464.2   NaN      NaN      -725.223
3464.2   NaN      -747.169 NaN     
3464.3   NaN      NaN      -724.981
3464.4   NaN      NaN      -724.807
3464.4   NaN      -745.784 NaN     
3464.7   NaN      -745.517 NaN     
3464.9   NaN      -745.042 NaN     
3465.1   NaN      NaN      -724.758
3465.3   NaN      -744.993 NaN     
3465.5   NaN      -744.784 NaN     
3465.9   NaN      -744.657 NaN     
3466.3   NaN      -744.630 NaN     
