# Notes:
# "Aspects, errors, and polynomial fit."
# Columns:
# 1: time (s)
# 2: aspect_from_transits (deg)
# 3: -dt
# 4: +dt
# 5: -dy (deg)
# 6: +dy (deg)
# 7: aspect_from_transit_fit (deg)
# 8: aspect_from_wingtips (deg)
# 9: -dt
# 10: +dt
# 11: -dy (deg)
# 12: +dy (deg)
# 13: aspect_from_wingtips_fit (deg)
28.5     NaN      NaN      NaN      NaN      NaN      NaN       280.606   28.300   28.633  278.344  282.867 NaN     
28.8     NaN      NaN      NaN      NaN      NaN      NaN       278.384   28.633   28.967  276.190  280.579 NaN     
29.0     NaN      NaN      NaN      NaN      NaN       281.690 NaN      NaN      NaN      NaN      NaN       277.434
30.0     NaN      NaN      NaN      NaN      NaN      NaN       270.241   29.800   30.133  267.544  272.939 NaN     
30.0     NaN      NaN      NaN      NaN      NaN       275.954 NaN      NaN      NaN      NaN      NaN       271.270
30.3     NaN      NaN      NaN      NaN      NaN      NaN       267.795   30.133   30.467  265.079  270.511 NaN     
30.6     NaN      NaN      NaN      NaN      NaN      NaN       265.664   30.467   30.800  262.865  268.463 NaN     
31.0     NaN      NaN      NaN      NaN      NaN      NaN       263.578   30.800   31.133  260.690  266.466 NaN     
31.0     NaN      NaN      NaN      NaN      NaN       269.842 NaN      NaN      NaN      NaN      NaN       264.702
31.3     NaN      NaN      NaN      NaN      NaN      NaN       261.476   31.133   31.467  258.506  264.446 NaN     
31.6     NaN      NaN      NaN      NaN      NaN      NaN       259.308   31.467   31.800  256.246  262.371 NaN     
32.0     NaN      NaN      NaN      NaN      NaN      NaN       257.403   31.800   32.133  254.296  260.510 NaN     
32.0      270.000   31.833   32.167  265.000  275.000  263.340 NaN      NaN      NaN      NaN      NaN       257.718
32.3     NaN      NaN      NaN      NaN      NaN      NaN       255.435   32.133   32.467  252.834  258.037 NaN     
32.6      254.200   32.433   32.767  249.200  259.200 NaN       253.871   32.433   32.767  251.224  256.518 NaN     
33.0     NaN      NaN      NaN      NaN      NaN      NaN       251.762   32.800   33.133  249.045  254.478 NaN     
33.0     NaN      NaN      NaN      NaN      NaN       256.436 NaN      NaN      NaN      NaN      NaN       250.305
33.3     NaN      NaN      NaN      NaN      NaN      NaN       249.779   33.133   33.467  246.986  252.573 NaN     
33.6     NaN      NaN      NaN      NaN      NaN      NaN       248.046   33.433   33.767  245.186  250.907 NaN     
34.0     NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN       242.448
